level,category,task,metric,method,n_rows,spearman_rho,p_value
overall,necklace,aesthetic,masked_lpips,ALL,432,0.08744627494803889,0.06940869314109585
per_method,necklace,aesthetic,masked_lpips,composite,144,-0.5205309347110572,2.2723672923509146e-11
per_method,necklace,aesthetic,masked_lpips,diffusion,144,0.640317463298989,5.5533296159589005e-18
per_method,necklace,aesthetic,masked_lpips,hist,144,-0.25863518592393075,0.001748022515811966
overall,necklace,identity,masked_lpips,ALL,432,0.07404955086617256,0.12435647981700687
per_method,necklace,identity,masked_lpips,composite,144,0.32876347112278204,5.7413517534031276e-05
per_method,necklace,identity,masked_lpips,diffusion,144,0.2530416546119235,0.0022134058914742086
per_method,necklace,identity,masked_lpips,hist,144,-0.47830364364791356,1.3352789632093182e-09
overall,ring,aesthetic,masked_lpips,ALL,576,0.013290884147924908,0.7502555993757858
per_method,ring,aesthetic,masked_lpips,composite,192,-0.1149486696453387,0.11236736974273527
per_method,ring,aesthetic,masked_lpips,diffusion,192,0.4300187045104871,4.822426614372198e-10
per_method,ring,aesthetic,masked_lpips,hist,192,-0.15852371143646707,0.028082566729159496
overall,ring,identity,masked_lpips,ALL,576,0.17036100568626067,3.958937621173857e-05
per_method,ring,identity,masked_lpips,composite,192,0.3845221287644908,3.660635122091365e-08
per_method,ring,identity,masked_lpips,diffusion,192,-0.10742034780508324,0.1380651285994512
per_method,ring,identity,masked_lpips,hist,192,0.3251978429912332,4.1772085058665234e-06
overall,necklace,aesthetic,masked_ssim,ALL,432,-0.015590990122288899,0.7465942292818445
per_method,necklace,aesthetic,masked_ssim,composite,144,-0.5396867261018413,2.9534519267257096e-12
per_method,necklace,aesthetic,masked_ssim,diffusion,144,0.5898773702632141,7.285863570420816e-15
per_method,necklace,aesthetic,masked_ssim,hist,144,-0.4091734914992058,3.5429306245409735e-07
overall,necklace,identity,masked_ssim,ALL,432,0.11710576780789181,0.014878209171444627
per_method,necklace,identity,masked_ssim,composite,144,0.23797704257379682,0.004076012270643095
per_method,necklace,identity,masked_ssim,diffusion,144,0.3659059432189219,6.482394461581378e-06
per_method,necklace,identity,masked_ssim,hist,144,-0.40303710804339743,5.488902041720991e-07
overall,ring,aesthetic,masked_ssim,ALL,576,-0.05059724443920555,0.2253315026736284
per_method,ring,aesthetic,masked_ssim,composite,192,-0.11469955567107792,0.11315318619388137
per_method,ring,aesthetic,masked_ssim,diffusion,192,0.5325578076679779,1.857120492917505e-15
per_method,ring,aesthetic,masked_ssim,hist,192,-0.3608000318465441,2.7332717496824717e-07
overall,ring,identity,masked_ssim,ALL,576,0.1769766170007738,1.9374658267994158e-05
per_method,ring,identity,masked_ssim,composite,192,0.19979793684656746,0.005461487263337802
per_method,ring,identity,masked_ssim,diffusion,192,0.010278134824447043,0.887481469174547
per_method,ring,identity,masked_ssim,hist,192,0.26206657605334294,0.0002406831156867751
overall,necklace,aesthetic,masked_psnr,ALL,432,-0.20558764464035614,1.6565640716086965e-05
per_method,necklace,aesthetic,masked_psnr,composite,144,-0.5176867730450437,3.043572807535748e-11
per_method,necklace,aesthetic,masked_psnr,diffusion,144,0.4868097414539896,6.142506953397199e-10
per_method,necklace,aesthetic,masked_psnr,hist,144,-0.30577305621886375,0.00019379747941610453
overall,necklace,identity,masked_psnr,ALL,432,0.1367067285073823,0.004419734799175561
per_method,necklace,identity,masked_psnr,composite,144,0.34123244262300395,2.8462658970728377e-05
per_method,necklace,identity,masked_psnr,diffusion,144,0.5375171800529166,3.745516594436545e-12
per_method,necklace,identity,masked_psnr,hist,144,-0.32981268774598044,5.418432722598443e-05
overall,ring,aesthetic,masked_psnr,ALL,576,-0.5113464914734914,1.0770818588383468e-39
per_method,ring,aesthetic,masked_psnr,composite,192,-0.025860241095959455,0.7218033643538697
per_method,ring,aesthetic,masked_psnr,diffusion,192,0.3715884580791694,1.1175181986496485e-07
per_method,ring,aesthetic,masked_psnr,hist,192,-0.42173144891016157,1.1143922003144113e-09
overall,ring,identity,masked_psnr,ALL,576,0.6138498946494286,6.1479809515498544e-61
per_method,ring,identity,masked_psnr,composite,192,0.2546736102986534,0.0003641640480661656
per_method,ring,identity,masked_psnr,diffusion,192,0.08029782218953845,0.26822366272826653
per_method,ring,identity,masked_psnr,hist,192,0.3549419003404267,4.382259530784321e-07
overall,necklace,aesthetic,hist_chi2_fg_boundary,ALL,432,-0.583060473726203,1.0592114513515389e-40
per_method,necklace,aesthetic,hist_chi2_fg_boundary,composite,144,-0.24530995083305482,0.003041795498187419
per_method,necklace,aesthetic,hist_chi2_fg_boundary,diffusion,144,-0.7275049829518343,5.342954981989598e-25
per_method,necklace,aesthetic,hist_chi2_fg_boundary,hist,144,-0.07867805806371489,0.34857227249287814
overall,necklace,identity,hist_chi2_fg_boundary,ALL,432,-0.12709795005760244,0.008174864178073398
per_method,necklace,identity,hist_chi2_fg_boundary,composite,144,0.0775607860861933,0.35548080051985775
per_method,necklace,identity,hist_chi2_fg_boundary,diffusion,144,-0.40409518014619017,5.093002971268696e-07
per_method,necklace,identity,hist_chi2_fg_boundary,hist,144,-0.021614231275041893,0.7970704746664734
overall,ring,aesthetic,hist_chi2_fg_boundary,ALL,576,-0.4409691568118631,8.371010005549092e-29
per_method,ring,aesthetic,hist_chi2_fg_boundary,composite,192,0.054707299228021804,0.4510527079706039
per_method,ring,aesthetic,hist_chi2_fg_boundary,diffusion,192,-0.08211385015693112,0.2575140967579081
per_method,ring,aesthetic,hist_chi2_fg_boundary,hist,192,-0.06738888043622857,0.3530308652462387
overall,ring,identity,hist_chi2_fg_boundary,ALL,576,0.33624854017427275,1.0842328014280737e-16
per_method,ring,identity,hist_chi2_fg_boundary,composite,192,0.06260095689979858,0.3883538780293334
per_method,ring,identity,hist_chi2_fg_boundary,diffusion,192,0.004862289619990766,0.9466340032500646
per_method,ring,identity,hist_chi2_fg_boundary,hist,192,0.003853807813156201,0.9576909365528297
overall,necklace,aesthetic,hist_chi2_fg_fg,ALL,432,-0.29936588973368156,2.1476601522072028e-10
per_method,necklace,aesthetic,hist_chi2_fg_fg,composite,144,-0.411493994693609,2.9955168476369997e-07
per_method,necklace,aesthetic,hist_chi2_fg_fg,diffusion,144,-0.3155688282070669,0.0001168021748561324
per_method,necklace,aesthetic,hist_chi2_fg_fg,hist,144,0.15374858490063154,0.06578902435525591
overall,necklace,identity,hist_chi2_fg_fg,ALL,432,0.23124093816707766,1.1838030381145485e-06
per_method,necklace,identity,hist_chi2_fg_fg,composite,144,0.460224988755448,6.492125229399011e-09
per_method,necklace,identity,hist_chi2_fg_fg,diffusion,144,-0.24843215800666263,0.0026784227632513247
per_method,necklace,identity,hist_chi2_fg_fg,hist,144,0.39719444513520397,8.260492389318434e-07
overall,ring,aesthetic,hist_chi2_fg_fg,ALL,576,-0.3599932558147041,4.582372798408622e-19
per_method,ring,aesthetic,hist_chi2_fg_fg,composite,192,-0.11371245217579884,0.11630925392852959
per_method,ring,aesthetic,hist_chi2_fg_fg,diffusion,192,0.35965368233441747,3.0000256292976733e-07
per_method,ring,aesthetic,hist_chi2_fg_fg,hist,192,-0.11135999738702888,0.12410726638852235
overall,ring,identity,hist_chi2_fg_fg,ALL,576,0.40011126740699515,1.4831622268762677e-23
per_method,ring,identity,hist_chi2_fg_fg,composite,192,0.060301043516340726,0.40605498180749056
per_method,ring,identity,hist_chi2_fg_fg,diffusion,192,0.0528399369791104,0.4666752492240829
per_method,ring,identity,hist_chi2_fg_fg,hist,192,0.12532222855306432,0.0832715557347388
